r,s,z,r_bits
3455471569944032717471861222689649084737801617428962691254,3619186214120760762227723835021848729746718006251667405419,4476956722964875117044478496126863127298805443944272214453,192
4398405152528205741767745775478815933377117528771497366556,4313002497666597368432181296297223426007906426522462874372,1789324849625542168420358866513588285047495479184345703228,192
95864464980567412347457917797369106110872345090053150595,5575063275981174657425706478668314569048593139813754262828,1327488723174079773750683167417265140411885118037110630024,186
3447388959732595802479297991858393987933549916888819511258,1478561022255250386516509811974705464178746213076220405168,1691683769837565170228062787299935625180035954503171415113,192
3750728351401354804343582797502543475281549019795844203986,6217792144350464392840917426555913841077509597346949303631,891358056517213666092634968466507961434708815575783138325,192
3196103919270233827594216833805929482925797652248535574536,4283291708706919248729368256381412910951955606959379581413,208871322650585422905111044402448923948362065282499569518,192
2433833226327598020855658065145199562443098311386892995925,4232511059442654307690133479054128268590790697357783698511,6004530374483171414500034913760391812114355412494518788786,191
4197902208243111940814401544407347545711643658886311377453,2658331098913939441269962076782656890377633728652893250022,2170497464581406928080301117877097627265597278250027095512,192
4787197241215825125824877321842874436472943618267965906339,4270881266558080177027344452385385033538459229941344500886,4503413378746846247896534145985157511208597688385816990085,192
3409159836808526694074925448402677904495409103343424203601,5424793991966761783980010681976040847066921769336397588999,2361709176529645125249243347970855161329989139430463245430,192
5640204291379134936284162224067110008667284995786487709792,3913751549262450654627834002965598293033979385100478352489,1038103207355857753041372599956503966377249257457447497724,192
4853088463074446419590741301102892466536111124071630601655,473899358155200377471473143130896055750062439204118782746,880320888925090227156184524242460989401502382663415823886,192
3648523828881725859778080086097754369358309706134024133629,5411901709282147097718407611099000435201841751143698682735,2014739366487357822206083075939113735698829018168374966350,192
3201716144740702972995738732013429359839980154939573916493,981684680256132656644996170601825400847693374173075872476,5867100526802570452485288893243866182111850310472523386849,192
5633815255354986762424513503277201724424552584283739844162,642293513893999500635964648870584058726874483418780755605,5640158731050749545859438433096311805707346021279862092797,192
